,Nom,Téléphone,Adresse,Ville,Département,Capacité,Type d'établissement,Capacité médecine,Capacité chirurgie,Capacité obstétrique,Capacité psychiatrie,Capacité moyen séjour,Capacité long séjour,Capacité hébergement,Capacité hospitalisation à domicile,Capacité service de soins infirmiers à domicile,Equipement : scanner,Equipement : irm,Equipement : radiologie numérisée,Equipement : radiologie vasculaire,Equipement : caméras à scintillon,Equipement : tep (tomographe)
436,Hôpital Garonne  (Toulouse),05 61 77 22 33," 224, avenue de Casselardit TSA 40031 31059 Toulouse",Toulouse,31, 180 places, Etablissement de Soins Longue Durée,0,0,0,0,40,140,0,0,0,0,0,0,0,0,0
437,Institut Claudius Regaud  (Toulouse),05 31 15 50 50, 1 avenue Irène Joliot-Curie  31059 Toulouse,Toulouse,31, 168 places, Centre de Lutte Contre Cancer,120,48,0,0,0,0,0,0,0,0,0,0,0,0,0
438,Institut Universitaire du Cancer Toulouse-Oncopole  (Toulouse),05 31 15 50 50, 1 avenue Irene Joliot-Curie  31059 Toulouse,Toulouse,31, 151 places, Hôpital dépendant d'un CHRU,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,établissement de soins MCO Hôpital Joseph Ducuing (TOULOUSE),05 61 77 34 00, Quartier Saint Cyprien (rive gauche) 15 rue Varsovie 31027 TOULOUSE,TOULOUSE,31, 146 places, Etablissement de Soins Pluridisciplinaire,56,51,39,0,0,0,0,0,0,0,0,0,0,0,0
440,Hôpital de Psychiatrie  (Toulouse),05 34 55 75 00, 330 avenue de Grande-Bretagne TSA 70034 31059 Toulouse,Toulouse,31, 104 places, Hôpital dépendant d'un CHRU,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0
441,Unité de soins de longue durée Les Jardins des Silos (TOULOUSE),05 61 43 78 66," 8, Chemin Des Silos  31100 TOULOUSE",TOULOUSE,31, 80 places, Etablissement de Soins Longue Durée,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0
442,Centre de rééducation fonctionnelle La Fontaine Salée (Salies-du-Salat),05 61 90 92 00," 15, bis avenue de la Fontaine Salée  31260 Salies-du-Salat",Salies-du-Salat,31, 76 places, Hôpital dépendant d'un CHRU,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0
443,CENTRE DE REEDUCATION FONCTIONNELLE Hôpitaux de Luchon (Bagnères-de-Luchon),05 61 79 93 00, 5 cours des Quinconces BP 88 31110 Bagnères-de-Luchon,Bagnères-de-Luchon,31, 75 places, Centre Hospitalier,0,0,0,0,75,0,0,0,0,0,0,1,0,0,0
444,Unités de Soins de Longue Durée - (dont U.H.R.) Résidence du Pastel et Résidence de l'Autan (REVEL),05 62 18 76 76, Résidence du Pastel et Résidence de l'Autan 2 Avenue Roger Ricalens 31250 REVEL,REVEL,31, 61 places, Etablissement de Soins Longue Durée,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
445,Unité de soins de Longue Durée USLD (MURET),05 67 52 81 00, CS 10202  31605 MURET,MURET,31, 53 places, Etablissement de Soins Longue Durée,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
446,Hôpital  (Revel),05 62 18 76 76, 2 avenue Roger Ricalens  31250 Revel,Revel,31, 51 places, Hôpital local,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
447,Court Séjour / Soins de Suite et de Réadaptation CS/SSR (MURET),05 67 52 81 00, CS 10202  31605 MURET,MURET,31, 50 places, Hôpital local,15,0,0,0,35,0,0,0,0,0,0,0,0,0,0
448,Hôpital La Grave (Toulouse),05 61 77 22 33, Place Lange TSA  60033 31059 Toulouse,Toulouse,31, 50 places, Hôpital dépendant d'un CHRU,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
449,Service de soins de suite et de réadaptation  (TOULOUSE),05 61 76 62 35, 1 rue du Doyen Lefebvre  31081 TOULOUSE,TOULOUSE,31, 30 places, Etablissement de sante? prive? autorise? en SSR,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,CENTRE DE CONVALESCENCE ET DE GERONTOLOGIE Hôpitaux de Luchon (Bagnères-de-Luchon),05 61 94 81 00, 4 avenue Alexandre Dumas BP 88 31110 Bagnères-de-Luchon,Bagnères-de-Luchon,31, 26 places, Centre Hospitalier,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
451,"Zone de production (restauration, blanchisserie et stérilisation) Le Chapitre (Toulouse)",Pas de numéro," 20, avenue Larrieu Thibaud 20, avenue Larrieu Thibaud 31100 Toulouse",Toulouse,31, 0 places, Hôpital dépendant d'un CHRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Hôpital Hôtel-Dieu Saint-Jacques (Toulouse),05 61 77 22 33," 2, rue Viguerie TSA 80035 31059 Toulouse",Toulouse,31, 0 places, Hôpital dépendant d'un CHRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,Plateforme logistique Logipharma (Cugnaux),Pas de numéro, 293 chemin de Tucaut 293 chemin de Tucaut - TSA 90036 - 31270 Cugnaux 31270 Cugnaux,Cugnaux,31, 0 places, Hôpital dépendant d'un CHRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Centre hospitalier  (Auch),05 62 61 32 32, Allée Marie Clarac BP 80382 32008 Auch,Auch,32, 418 places, Centre Hospitalier,218,45,20,0,65,70,0,0,0,1,1,3,0,0,0
455,Centre Hospitalier  (Gimont),05 62 67 25 25," 19, rue 1ère Armée française Rhin et Danube  32201 Gimont",Gimont,32, 217 places, Hôpital local,15,0,0,0,15,30,157,6,30,0,0,0,0,0,0
456,Centre Hospitalier  (Nogaro),05 62 08 85 00," 1, avenue des Pyrénées  32110 Nogaro",Nogaro,32, 190 places, Hôpital local,10,0,0,0,25,30,125,0,39,0,0,0,0,0,0
457,Centre Hospitalier Intercommunal LOMBEZ-SAMATAN (LOMBEZ),05 62 62 07 07," 1, Chemin des Religieuses  32220 LOMBEZ",LOMBEZ,32, 165 places, Hôpital local,28,0,0,0,30,30,77,0,33,0,0,0,0,0,0
458,CENTRE HOSPITALIER Saint Jacques (MIRANDE),05 62 66 88 00," 8, avenue de Chanzy  32300 MIRANDE",MIRANDE,32, 153 places, Hôpital local,0,0,0,0,20,0,133,0,30,0,0,0,0,0,0
459,Centre hospitalier  (Condom),05 62 28 20 77, 21 ave Maréchal Joffre  32100 Condom,Condom,32, 137 places, Centre Hospitalier,22,0,0,0,20,35,60,0,0,1,0,1,0,0,0
460,Hôpital local  (Vic-Fezensac),05 62 64 49 00, Chemin des pouzouères  32190 Vic-Fezensac,Vic-Fezensac,32, 120 places, Hôpital local,0,0,0,0,19,0,101,0,0,0,0,0,0,0,0
461,Hôpital local  (Mauvezin),05 62 58 32 00," 2, rue du Buguet  32120 Mauvezin",Mauvezin,32, 92 places, Hôpital local,5,0,0,0,25,0,62,0,21,0,0,0,0,0,0
462,Centre de réadaptation fonctionnelle de Roquetaillade (Montegut),05 62 65 66 12,   32550 Montegut,Montegut,32, 70 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
463,Etablissement Public de Santé de Lomagne Site de Fleurance (Fleurance),05 62 64 20 00, rue Saint-Laurent BP 39 32500 Fleurance,Fleurance,32, 52 places, Hôpital local,28,0,0,0,24,0,0,0,0,0,0,0,0,0,0
464,Groupe hospitalier Pellegrin (Bordeaux),05 56 79 56 79, Place Amélie Raba-léon  33076 Bordeaux,Bordeaux,33, 1408 places, Hôpital dépendant d'un CHRU,628,561,173,0,46,0,0,0,0,2,4,15,3,2,0
465,Groupe hospitalier Sud (Pessac),05 56 79 56 79, avenue de Magellan  33600 Pessac,Pessac,33, 1260 places, Hôpital dépendant d'un CHRU,612,263,0,0,87,120,178,0,0,3,2,9,2,3,2
466,CENTRE HOSPITALIER Robert Boulin (Libourne),05 57 55 34 34," 112, rue de la MARNE BP 199 33505 Libourne",Libourne,33, 812 places, Centre Hospitalier,395,128,34,141,114,0,0,0,0,2,2,5,1,0,0
467,Centre hospitalier Sud Gironde Sites de Langon et La Réole (La Réole),05 56 76 57 57, Place Saint Michel BP 90055 33192 La Réole,La Réole,33, 519 places, Centre Hospitalier,100,35,18,0,39,0,327,40,0,0,0,1,0,0,0
468,Groupe Hospitalier Saint-André (Bordeaux),05 56 79 56 79," 1, rue Jean BURGUET  33075 Bordeaux",Bordeaux,33, 350 places, Hôpital dépendant d'un CHRU,335,0,0,15,0,0,0,0,0,1,1,4,0,0,0
469,Centre hospitalier  (Sainte-Foy-la-Grande),05 57 41 96 96, avenue Charrier BP 10 33220 Sainte-Foy-la-Grande,Sainte-Foy-la-Grande,33, 347 places, Centre Hospitalier,39,0,0,0,60,60,188,0,65,1,0,1,0,0,0
470,Pôle médico-chirugical  (TALENCE),05 57 12 34 56, 203 route de Toulouse BP50048 33401 TALENCE,TALENCE,33, 250 places, Etablissement de Soins Pluridisciplinaire,250,0,0,0,0,0,0,200,193,0,0,0,0,0,0
471,Centre hospitalier d'Arcachon (La Teste-de-Buch),05 57 52 90 00, CS 11001 Pôle de santé -  avenue Jean Hameau 33164 La Teste-de-Buch,La Teste-de-Buch,33, 204 places, Centre Hospitalier,118,48,18,0,20,0,0,0,0,1,1,2,0,0,0
472,Centre Régional de Lutte Contre le Cancer Institut Bergonié (Bordeaux),05 56 33 33 33, 229 cours de l'Argonne - CS 61283  33076 Bordeaux,Bordeaux,33, 148 places, Centre de Lutte Contre Cancer,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Centre hospitalier de la Haute Gironde (Blaye),05 57 33 40 00, 97 rue de l'hôpital B.P.90 33394 Blaye,Blaye,33, 123 places, Centre Hospitalier,50,18,15,0,20,20,0,0,0,1,0,1,0,0,0
474,Centre hospitalier  (Bazas),05 56 65 04 65, 4 chemin de Marmande  33430 Bazas,Bazas,33, 61 places, Centre Hospitalier,18,0,0,0,43,0,0,0,0,0,0,1,0,0,0
475,Centre de Soins de Suite et Réadaptation l'Ajoncière  (Cestas),05 56 68 52 00, Chemin de Camparian - CS 40124 - 33612 Cestas Cedex CSSR Ajoncière 33612 Cestas,Cestas,33, 53 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
476,Hôpital d'Instruction des Armées  ROBERT PICQUE  (VILLENAVE-D'ORNON),05 56 84 70 00, 351 route de toulouse CS 80002 33882 VILLENAVE-D'ORNON,VILLENAVE-D'ORNON,33, 34 places, Hôpital des armées,0,0,0,16,18,0,0,0,0,1,1,5,0,0,0
477,CENTRE DE LA TOUR DE GASSIES - MPR  (BRUGES CEDEX),Pas de numéro, RUE DE LA TOUR DE GASSIES  33520 BRUGES CEDEX,BRUGES CEDEX,33, 0 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,Hôpital Lapeyronie (MONTPELLIER),04 67 33 67 33, 371 avenue du Doyen Gaston Giraud  34295 MONTPELLIER,MONTPELLIER,34, 532 places, Hôpital dépendant d'un CHRU,323,168,0,0,41,0,0,0,0,3,2,10,0,3,0
479,Centre hospitalier  (Béziers),04 67 35 70 35," 2, rue Valentin Haûy BP 740 34525 Béziers",Béziers,34, 515 places, Centre Hospitalier,311,133,26,0,45,0,0,15,0,2,2,7,1,0,0
480,Hôpital Arnaud de Villeneuve (MONTPELLIER),04 67 33 67 33," 37, avenue du Doyen Gaston Giraud  34295 MONTPELLIER",MONTPELLIER,34, 477 places, Hôpital dépendant d'un CHRU,307,62,108,0,0,0,0,14,0,2,1,3,2,0,0
481,Hôpital Saint-Eloi (MONTPELLIER),04 67 33 67 33, 80 avenue Augustin Fliche  34295 MONTPELLIER,MONTPELLIER,34, 471 places, Hôpital dépendant d'un CHRU,356,64,0,51,0,0,0,54,0,2,1,1,1,0,0
482,Hôpital La Colombiere (MONTPELLIER),04 67 33 67 33," 39, avenue Charles Flahaut  34295 MONTPELLIER",MONTPELLIER,34, 462 places, Hôpital dépendant d'un CHRU,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0
483,Hôpital Gui de Chauliac (MONTPELLIER),04 67 33 67 33, 80 avenue Augustin Fliche  34295 MONTPELLIER,MONTPELLIER,34, 296 places, Hôpital dépendant d'un CHRU,159,137,0,0,0,0,0,0,0,1,2,3,3,1,2
484,Hôpital local  (Lodève),04 67 88 30 00," 13, boulevard Pasteur BP 70 34702 Lodève",Lodève,34, 208 places, Hôpital local,22,0,0,0,18,100,68,0,40,1,0,1,0,0,0
485,"ICM, Institut du Cancer de Montpellier  (Montpellier)",04 67 61 31 00, 208 rue des Apothicaires Parc Euromédecine 34298 Montpellier,Montpellier,34, 207 places, Centre de Lutte Contre Cancer,129,78,0,0,0,0,0,0,0,0,0,0,0,0,0
486,Hôpital Saint Clair  (Sète),04 67 46 57 57, Bld Camille Blanc BP 475 34207 Sète,Sète,34, 200 places, Centre Hospitalier,114,61,25,0,0,0,0,0,0,1,1,3,0,0,0
487,CENTRE HOSPITALIER DE SAINT PONS  (SAINT PONS DE THOMIERES),04 67 97 41 00, QUARTIER FRESCATIS  34220 SAINT PONS DE THOMIERES,SAINT PONS DE THOMIERES,34, 188 places, Hôpital local,0,0,0,0,45,0,143,0,25,0,0,0,0,0,0
488,SMTI et SSR  (BEZIERS),04 67 35 76 08, 2 boulevard Perreal  34535 BEZIERS,BEZIERS,34, 188 places, Etablissement de Soins Longue Durée,0,0,0,0,45,143,0,0,0,0,0,0,0,0,0
489,Centre hospitalier Paul Coste Floret (Lamalou-les-Bains),04 67 23 55 00," 5, avenue Georges Clemenceau  34240 Lamalou-les-Bains",Lamalou-les-Bains,34, 167 places, Centre Hospitalier,0,0,0,0,167,0,0,0,3,0,0,1,0,0,0
490,Centre de Gérontologie Clinique Antonin Balmès (MONTPELLIER),04 67 33 67 33," 39, avenue Charles Flahaut  34295 MONTPELLIER",MONTPELLIER,34, 158 places, Hôpital dépendant d'un CHRU,61,0,0,0,52,45,0,0,0,0,0,0,0,0,0
491,Centre Hospitalier  (Clermont-l'Hérault),04 67 88 89 90, Cours de la Chicane BP 97 34800 Clermont-l'Hérault,Clermont-l'Hérault,34, 158 places, Hôpital local,17,0,0,0,11,0,130,0,41,0,0,0,0,0,0
492,Centre psychotherapique Camille Claudel (Beziers),04 67 35 70 34, Rue Rivetti  34500 Beziers,Beziers,34, 138 places, Centre Hospitalier,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0
493,Centre de Soins pour Personnes Agées Bellevue (MONTPELLIER),04 67 33 67 33," 1, place Jean Baumel  34295 MONTPELLIER",MONTPELLIER,34, 112 places, Etablissement de Soins Longue Durée,0,0,0,0,17,95,0,0,0,0,0,0,0,0,0
494,Hôpital Saint Loup  (Agde),04 99 44 20 00, boulevard des Hellènes  34304 Agde,Agde,34, 87 places, Centre Hospitalier,30,0,0,0,22,35,0,0,0,1,0,1,0,0,0
495,CENTRE MAGUELONE Association Héliomarine de la Côte Occitane (CASTELNAU-LE-LEZ),04 67 14 79 79, 845 Avenue Georges Frêche  34170 CASTELNAU-LE-LEZ,CASTELNAU-LE-LEZ,34, 75 places, Etablissement de sante? prive? autorise? en SSR,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
496,Centre de long sejour Les Pergolines (Sete),04 67 46 57 97, chemin de la poule d'eau BP 475 34200 Sete,Sete,34, 55 places, Etablissement de Soins Longue Durée,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
497,CENTRE HOSPITALIER-Pôle Santé Chemin des Alicantes (Lunel),04 67 87 71 00, chemin des Alicantes  34400 Lunel,Lunel,34, 50 places, Hôpital local,32,0,0,0,18,0,0,0,0,0,0,0,0,0,0
498,EHPAD USLD BRUNEL  (Lunel),Pas de numéro, Rue Bruno Brunel  34400 Lunel,Lunel,34, 49 places, Etablissement de Soins Longue Durée,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
499,Hôpital  (Bédarieux),04 67 95 51 51, Allée Noémie Berthomieu  34600 Bédarieux,Bédarieux,34, 40 places, Hôpital local,10,0,0,0,30,0,0,5,0,0,0,0,0,0,0
500,Centre Hospitalier  (PEZENAS),04 67 35 40 40," 22, rue Henri Reboul CS 30002 34120 PEZENAS",PEZENAS,34, 25 places, Hôpital local,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,Centre Administratif André Benech  (MONTPELLIER),04 67 33 67 33, 191 avenue du Doyen Gaston Giraud  34295 MONTPELLIER,MONTPELLIER,34, 0 places, Hôpital dépendant d'un CHRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,"Centre de Soins, d'Enseignement et de Recherche Dentaire  (MONTPELLIER)",04 67 33 67 33," 549, avenue du Pr Louis Viala  34295 MONTPELLIER",MONTPELLIER,34, 0 places, Hôpital dépendant d'un CHRU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,MCO & centre de soins dentaires Pontchaillou (Rennes),02 99 28 43 21, 2 rue Henri Le Guilloux  35033 Rennes,Rennes,35, 1106 places, Hôpital dépendant d'un CHRU,634,411,0,0,61,0,0,0,0,4,4,8,2,0,0
504,Centre hospitalier Broussais (Saint-Malo),02 99 21 21 21," 1, rue de la Marne  35403 Saint-Malo",Saint-Malo,35, 932 places, Centre Hospitalier,344,81,26,141,0,83,257,0,0,1,1,3,1,0,0
505,MCO Hopital Sud (Rennes),02 99 28 43 21, 16 bvd de bulgarie BP 90347 35203 Rennes,Rennes,35, 435 places, Hôpital dépendant d'un CHRU,270,56,107,0,2,0,0,0,0,1,2,4,1,0,0
506,Hôpital  (Janzé),02 99 47 54 00," 4, rue Armand Jouault  35150 Janzé",Janzé,35, 248 places, Hôpital local,15,0,0,0,25,0,208,0,0,0,0,0,0,0,0
507,Hôpital de Redon  (Redon),02 99 71 71 71, 8 avenue Étienne Gascon BP 90343 35603 Redon,Redon,35, 216 places, Centre Hospitalier,92,40,19,15,50,0,0,0,0,1,0,2,0,0,0
508,Maison de Santé La Gautrays (Vitre),02 99 74 17 55, 45  rue de Paris  35506 Vitre,Vitre,35, 212 places, Centre Hospitalier,0,0,0,0,53,53,106,0,0,0,0,0,0,0,0
509,La Tauvrais  :  SLD - SSR - Soins palliatifs  (Rennes),02 99 28 43 21, Rue de la Tauvrais  35033 Rennes,Rennes,35, 203 places, Etablissement de Soins Longue Durée,16,0,0,0,67,120,0,0,0,0,0,0,0,0,0
510,Hôpital local Centre Hospitalier des Près Bosgers (Cancale),02 99 89 51 51, 3 Rue des Près Bosgers  35260 Cancale,Cancale,35, 145 places, Hôpital local,0,0,0,0,25,0,120,0,0,0,0,0,0,0,0
511,Hôpital  (Le Grand-Fougeray),02 99 08 30 30," 29, rue Saint-Roch BP 25 35390 Le Grand-Fougeray",Le Grand-Fougeray,35, 144 places, Hôpital local,0,0,0,0,21,0,123,0,0,0,0,0,0,0,0
512,Centre hospitalier  (Vitré),02 99 74 14 14," 30, route de Rennes BP 90629 35506 Vitré",Vitré,35, 141 places, Centre Hospitalier,85,36,20,0,0,0,0,0,0,1,0,3,0,0,0
513,Centre de Lutte contre le Cancer Eugene Marquis  (Rennes),02 99 25 30 00, Avenue de la Bataille Flandres Dunkerque CS 44229 35042 Rennes,Rennes,35, 103 places, Centre de Lutte Contre Cancer,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0
514,Unité de Soins de Longue Durée  (SAINT MALO),02 99 21 21 21, 78 boulevard du Rosais 1 rue de la Marne 35400 SAINT MALO,SAINT MALO,35, 83 places, Etablissement de Soins Longue Durée,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0
515,Hôpital - Centre Hospitalier des Marches de Bretagne - Site d'Antrain (VAL COUESNON),02 99 98 31 33," 1 rue Jean-Marie LALOY, Antrain 1 rue Jean-Marie LALOY, Antrain 35560 VAL COUESNON",VAL COUESNON,35, 77 places, Centre Hospitalier,12,0,0,0,65,0,0,0,0,0,0,0,0,0,0
516,Médecine - Soins de Suite et de Réadaptation  (MONTFORT SUR MEU),02 99 09 83 00," Centre Hospitalier 33, rue Saint Nicolas   CS 96211 35162 MONTFORT SUR MEU",MONTFORT SUR MEU,35, 46 places, Hôpital local,16,0,0,0,30,0,0,0,0,0,0,0,0,0,0
517,CENTRE HOSPITALIER  (La Guerche de Bretagne),02 99 96 18 30, 63 Faubourg de Rennes 63 Faubourg de Rennes 35130 La Guerche de Bretagne,La Guerche de Bretagne,35, 40 places, Hôpital local,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0
518,Hôpital local Clinique Saint Joseph (COMBOURG),02 99 73 05 34, 46 avenue de la Libération  35270 COMBOURG,COMBOURG,35, 30 places, Etablissement de Soins Pluridisciplinaire,12,0,0,0,18,0,0,0,0,0,0,0,0,0,0
519,Unité de Soins de Longue Durée  (MONTFORT SUR MEU),02 99 09 83 00," Centre Hospitalier 33, rue Saint Nicolas   CS 96211 35162 MONTFORT SUR MEU",MONTFORT SUR MEU,35, 30 places, Etablissement de Soins Longue Durée,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
520,Unité d'hospitalisation complète de psychiatrie  (Redon),02 99 71 79 64, 4 rue de la Riaudaie  35600 Redon,Redon,35, 25 places, Centre Hospitalier,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
521,SSR  (SAINT MEEN LE GRAND),02 99 09 88 88, 13 rue de la Croix Duval BP 10 35290 SAINT MEEN LE GRAND,SAINT MEEN LE GRAND,35, 20 places, Hôpital local,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
522,CENTRE HOSPITALIER  (FOUGERES),02 99 17 70 00, 133 rue de la Forêt CS 20606 35306 FOUGERES,FOUGERES,35, 0 places, Centre Hospitalier,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
523,Unité de soins de longue durée  (FOUGERES),02 99 17 70 00, 133 rue de la Forêt CS 20606 35306 FOUGERES,FOUGERES,35, 0 places, Etablissement de Soins Longue Durée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,Unité de Soins de Longue Durée  (RENNES),02 99 33 39 56, 4 bis bd de Strasbourg  35000 RENNES,RENNES,35, 0 places, Etablissement de Soins Longue Durée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,Centre hospitalier  (CHATEAUROUX),02 54 29 60 00," 216, avenue de Verdun BP 585 36019 CHATEAUROUX",CHATEAUROUX,36, 730 places, Centre Hospitalier,287,119,40,223,0,0,61,25,0,2,2,10,0,0,0
526,Centre hospitalier de La Tour Blanche (Issoudun),02 54 03 54 03, Avenue Jean Bonnefont CS 70190 36105 Issoudun,Issoudun,36, 409 places, Centre Hospitalier,60,0,0,0,133,30,186,0,72,1,0,2,0,0,0
527,CENTRE HOSPITALIER DE PROXIMITE  (Chatillon-sur-Indre),02 54 02 33 33," 13, avenue de Verdun  36700 Chatillon-sur-Indre",Chatillon-sur-Indre,36, 235 places, Hôpital local,0,0,0,0,35,31,169,0,70,0,0,0,0,0,0
528,Centre Hospitalier  (Valençay),02 54 00 30 00, 24 rue des princes/17 rue Duchesse de Dino 24 rue des princes 36600 Valençay,Valençay,36, 181 places, Hôpital local,0,0,0,0,30,0,151,5,37,0,0,0,0,0,0
529,Centre Hospitalier de Levroux  (Levroux),02 54 29 10 00," 60, rue Nationale  36110 Levroux",Levroux,36, 181 places, Hôpital local,0,0,0,0,15,0,166,0,25,0,0,0,0,0,0
530,Centre hospitalier Saint-Roch (Buzançais),02 54 84 03 12," 1, rue Notre Dame  36500 Buzançais",Buzançais,36, 159 places, Hôpital local,0,0,0,0,28,0,131,0,36,0,0,0,0,0,0
531,Centre hospitalier  (Le Blanc),02 54 28 28 28," 5, Rue Pierre Millon BP 202 36300 Le Blanc",Le Blanc,36, 112 places, Centre Hospitalier,36,13,13,0,50,0,0,5,36,1,0,5,0,0,0
532,USLD  (Châteauroux),02 54 53 77 50, Saint Maur BP 317 36006 Châteauroux,Châteauroux,36, 81 places, Etablissement de Soins Longue Durée,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0
533,Centre hospitalier  (La Chatre),02 54 06 54 54," 40, rue des Oiseaux BP 126 36400 La Chatre",La Chatre,36, 65 places, Centre Hospitalier,30,0,0,0,35,0,0,0,60,0,0,0,0,0,0
534,Hôpital Bretonneau (Tours),02 47 47 47 47," 2, boulevard tonnellé  37000 Tours",Tours,37, 812 places, Hôpital dépendant d'un CHRU,391,132,126,131,32,0,0,0,0,2,2,3,1,1,2
535,Centre Hospitalier du Chinonais (CHINON),02 47 93 75 15, BP 248  37502 CHINON,CHINON,37, 673 places, Centre Hospitalier,69,0,17,132,98,124,233,0,0,1,2,2,0,0,0
536,Hôpital Trousseau (Chambray-lès-Tours),02 47 47 47 47, Avenue de la République  37170 Chambray-lès-Tours,Chambray-lès-Tours,37, 567 places, Hôpital dépendant d'un CHRU,242,325,0,0,0,0,0,0,0,3,1,8,2,2,0
537,Centre hospitalier  (Luynes),02 47 55 30 30, avenue du Clos Mignot  37230 Luynes,Luynes,37, 290 places, Centre Hospitalier,10,0,0,0,70,0,210,0,26,0,0,0,0,0,0
538,Hôpital Clocheville (Tours),02 47 47 47 47," 49, boulevard Béranger  37000 Tours",Tours,37, 213 places, Hôpital dépendant d'un CHRU,115,80,0,0,5,13,0,0,0,1,1,4,0,0,0
539,Centre psychothérapique de Tours sud  (Saint-Avertin),02 47 47 47 47, Avenue du Général de Gaulle  37550 Saint-Avertin,Saint-Avertin,37, 164 places, Hôpital dépendant d'un CHRU,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0
540,Centre Hospitalier Intercommunal Amboise - Château-Renault Site d'Amboise : Hôpital Robert DEBRE (AMBOISE),02 47 23 33 33, Rue des Ursulines BP 329 37403 AMBOISE,AMBOISE,37, 148 places, Centre Hospitalier,61,30,0,28,29,0,0,0,55,1,0,3,0,0,0
541,Centre Hospitalier Louis Sevestre (La Membrolle-sur-Choisille),02 47 42 46 46, La Futaie  37390 La Membrolle-sur-Choisille,La Membrolle-sur-Choisille,37, 140 places, Centre Hospitalier,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0
542,Centre Hospitalier Intercommunal Amboise - Château-Renault Site de Château-Renault : Hôpital Jean DELANEAU (CHATEAU RENAULT),02 47 23 33 33, 66 boulevard Jules Joran BP 68 37110 CHATEAU RENAULT,CHATEAU RENAULT,37, 125 places, Centre Hospitalier,25,0,0,65,35,0,0,0,56,0,0,2,0,0,0
543,Unité de Soins de Longue Durée  (CHINON),02 47 93 75 15, Centre Hospitalier du Chinonais - BP 248  37502 CHINON,CHINON,37, 124 places, Etablissement de Soins Longue Durée,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0
544,CMPR Bel air (LA MEMBROLLE SUR CHOISILLE),02 47 42 43 44, BEL AIR  37390 LA MEMBROLLE SUR CHOISILLE,LA MEMBROLLE SUR CHOISILLE,37, 107 places, Etablissement Réadaptation Fonctionnelle,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0
545,Centre Hospitalier Site Les Rives de l'Indre (LOCHES),02 47 91 33 33," 1, rue du Docteur Martinais  37600 LOCHES",LOCHES,37, 75 places, Centre Hospitalier,35,25,0,15,0,0,0,0,0,1,0,2,0,0,0
546,Clinique Psychiatrique Universitaire  (Saint Cyr sur Loire),02 47 47 47 47, Rue du Coq  37540 Saint Cyr sur Loire,Saint Cyr sur Loire,37, 60 places, Hôpital dépendant d'un CHRU,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
547,Hôpital de jour de l'enfant et de l'adolescent  (CHAMBRAY-LES-TOURS),02 47 73 38 00," La Charpraie 2, rue de la Charpraie 37170 CHAMBRAY-LES-TOURS",CHAMBRAY-LES-TOURS,37, 30 places, Centre Hospitalier,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
